Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,199,7,Some Random Commen with Id 0
1,0,0,154,8,Some Random Commen with Id 1
2,0,0,103,8,Some Random Commen with Id 2
3,3,5,115,9,Some Random Commen with Id 3
4,3,5,67,6,Some Random Commen with Id 4
5,3,5,144,9,Some Random Commen with Id 5
6,3,5,188,8,Some Random Commen with Id 6
7,3,5,182,2,Some Random Commen with Id 7
8,3,5,148,4,Some Random Commen with Id 8
9,4,5,142,2,Some Random Commen with Id 9
10,4,5,81,5,Some Random Commen with Id 10
11,5,0,145,2,Some Random Commen with Id 11
12,7,3,184,1,Some Random Commen with Id 12
13,7,3,98,5,Some Random Commen with Id 13
14,7,3,65,4,Some Random Commen with Id 14
15,7,3,148,6,Some Random Commen with Id 15
16,7,3,163,8,Some Random Commen with Id 16
17,8,3,166,2,Some Random Commen with Id 17
18,8,3,36,3,Some Random Commen with Id 18
19,8,3,156,3,Some Random Commen with Id 19
20,8,3,115,3,Some Random Commen with Id 20
21,8,3,186,6,Some Random Commen with Id 21
22,8,3,179,1,Some Random Commen with Id 22
23,8,3,199,2,Some Random Commen with Id 23
24,8,3,56,8,Some Random Commen with Id 24
25,8,3,5,7,Some Random Commen with Id 25
26,9,1,5,1,Some Random Commen with Id 26
27,11,9,15,0,Some Random Commen with Id 27
28,11,9,22,1,Some Random Commen with Id 28
29,11,9,46,6,Some Random Commen with Id 29
30,11,9,58,0,Some Random Commen with Id 30
31,12,8,175,3,Some Random Commen with Id 31
32,12,8,9,3,Some Random Commen with Id 32
33,12,8,131,5,Some Random Commen with Id 33
34,12,8,137,3,Some Random Commen with Id 34
35,12,8,165,3,Some Random Commen with Id 35
36,12,8,30,9,Some Random Commen with Id 36
37,12,8,161,2,Some Random Commen with Id 37
38,12,8,182,8,Some Random Commen with Id 38
39,12,8,80,0,Some Random Commen with Id 39
40,13,8,108,1,Some Random Commen with Id 40
41,13,8,48,9,Some Random Commen with Id 41
42,13,8,169,4,Some Random Commen with Id 42
43,13,8,26,8,Some Random Commen with Id 43
44,13,8,38,1,Some Random Commen with Id 44
45,13,8,3,4,Some Random Commen with Id 45
46,13,8,115,9,Some Random Commen with Id 46
47,14,6,125,9,Some Random Commen with Id 47
48,14,6,86,9,Some Random Commen with Id 48
49,14,6,29,1,Some Random Commen with Id 49
50,15,3,22,7,Some Random Commen with Id 50
51,15,3,90,0,Some Random Commen with Id 51
52,15,3,5,3,Some Random Commen with Id 52
53,15,3,1,3,Some Random Commen with Id 53
54,16,1,123,7,Some Random Commen with Id 54
55,16,1,14,7,Some Random Commen with Id 55
56,16,1,189,0,Some Random Commen with Id 56
57,17,4,109,3,Some Random Commen with Id 57
58,17,4,107,4,Some Random Commen with Id 58
59,17,4,91,6,Some Random Commen with Id 59
60,17,4,67,6,Some Random Commen with Id 60
61,17,4,167,2,Some Random Commen with Id 61
62,17,4,57,9,Some Random Commen with Id 62
63,17,4,61,4,Some Random Commen with Id 63
64,18,1,171,8,Some Random Commen with Id 64
65,19,6,43,7,Some Random Commen with Id 65
66,19,6,57,1,Some Random Commen with Id 66
67,20,7,98,5,Some Random Commen with Id 67
68,21,8,5,2,Some Random Commen with Id 68
69,21,8,109,2,Some Random Commen with Id 69
70,21,8,122,5,Some Random Commen with Id 70
71,21,8,128,1,Some Random Commen with Id 71
72,21,8,18,0,Some Random Commen with Id 72
73,21,8,64,0,Some Random Commen with Id 73
74,21,8,86,0,Some Random Commen with Id 74
75,21,8,36,1,Some Random Commen with Id 75
76,21,8,142,8,Some Random Commen with Id 76
77,22,0,149,3,Some Random Commen with Id 77
